Station,lat,lon
4002,22.534241,113.984871
4003,22.491464,113.94556
4007,22.557269,114.23687
4008,22.563193,114.106793
4009,22.565809,114.117757
4011,22.603867,114.267082
4014,22.72016,114.076601
4018,22.528186,114.496906
4019,22.720358,114.247468
4020,22.630626,114.423948
